user_id,event_type,value,duration,timestamp
3000657486,3,41,15,2022-02-03 12:28:01
3000657486,2,17,15,2022-02-03 12:28:01
3000657486,3,42,20,2022-02-03 12:28:01
1605593985,3,29,10,2022-02-03 12:32:01
1605593985,2,31,10,2022-02-03 12:32:01
1605593985,2,105,20,2022-02-03 12:33:01
1605593985,3,29,20,2022-02-03 12:33:01
2960781487,2,8,22,2022-02-03 12:34:01
3164779330,2,50,10,2022-02-03 12:35:01
3164779330,2,59,15,2022-02-03 12:35:01
2961019972,2,11,5,2022-02-03 12:38:01
2997891151,2,17,5,2022-02-03 12:38:01
2961019972,2,2,20,2022-02-03 12:38:01
2997891151,2,17,10,2022-02-03 12:38:01
2997891151,3,12,10,2022-02-03 12:38:01
2997891151,2,3,15,2022-02-03 12:38:01
2997891151,3,20,15,2022-02-03 12:38:01
2997891151,2,7,20,2022-02-03 12:38:01
2997891151,3,16,20,2022-02-03 12:38:01
530718665,2,5,5,2022-02-03 12:47:01
530718665,3,25,10,2022-02-03 12:47:01
530718665,2,52,10,2022-02-03 12:47:01
530718665,2,51,15,2022-02-03 12:47:01
530718665,2,25,20,2022-02-03 12:47:01
1578743022,2,33,5,2022-02-03 12:49:01
1578743022,3,34,5,2022-02-03 12:49:01
1578743022,2,4,10,2022-02-03 12:49:01
1578743022,3,48,10,2022-02-03 12:49:01
1578743022,2,50,15,2022-02-03 12:49:01
1578743022,3,6,20,2022-02-03 12:49:01
1578743022,2,2,20,2022-02-03 12:49:01
2989252443,2,48,25,2022-02-03 12:54:01
1570575206,2,2,5,2022-02-03 12:54:01
1570575206,2,1,10,2022-02-03 12:54:01
1433663620,2,19,26,2022-02-03 13:00:01
3559737404,2,42,5,2022-02-03 13:03:01
3559737404,2,60,10,2022-02-03 13:04:02
2990582482,2,2,5,2022-02-03 13:04:02
2990582482,2,4,10,2022-02-03 13:04:02
3000656474,2,28,5,2022-02-03 13:04:02
3000656474,2,97,10,2022-02-03 13:04:02
3000656474,2,137,15,2022-02-03 13:04:02
624167607,2,13,5,2022-02-03 13:05:01
3165190165,2,25,6,2022-02-03 13:05:01
624167607,1,0,10,2022-02-03 13:05:01
624167607,2,91,10,2022-02-03 13:05:01
1845283201,2,24,5,2022-02-03 13:07:01
1845283201,2,20,20,2022-02-03 13:08:01
3162681611,1,0,4,2022-02-03 13:10:01
